Camera,Camera_folder,Species,DateTimeOriginal,Date,Sheep,Time,delta.time.secs,Directory,FileName,Classification,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C03,C03_121719_030720,Bobcat,1/19/2020 13:47,1/18/20,N,13:47:54,72461,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0292.JPG,Bobcat,FALSE,13H 47M 54S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,1/22/2020 2:43,1/21/20,N,2:43:43,219347,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0322.JPG,Bobcat,FALSE,2H 43M 43S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,2/6/2020 19:56,2/5/20,N,19:56:17,1357952,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0532.JPG,Bobcat,FALSE,19H 56M 17S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,2/10/2020 12:22,2/9/20,N,12:22:19,318360,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0598.JPG,Bobcat,FALSE,12H 22M 19S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,2/18/2020 12:23,2/17/20,N,12:23:30,691265,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0778.JPG,Bobcat,FALSE,12H 23M 30S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,2/19/2020 11:34,2/18/20,N,11:34:29,83454,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0787.JPG,Bobcat,FALSE,11H 34M 29S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,2/26/2020 4:22,2/25/20,N,4:22:11,578860,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0931.JPG,Bobcat,FALSE,4H 22M 11S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,3/2/2020 6:45,3/1/20,N,6:45:22,440584,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_1018.JPG,Bobcat,FALSE,6H 45M 22S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,3/3/2020 10:04,3/2/20,N,10:04:07,98320,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_1036.JPG,Bobcat,FALSE,10H 4M 7S,NA,NA,NA,NA
C09,C09_092420_110620,Bobcat,10/7/2020 7:54,10/6/20,N,7:54:16,0,Reviewed Phase 4/C09_092420_110620/Bobcat,IMG_0094.JPG,Bobcat,TRUE,7H 54M 16S,NA,NA,NA,NA
C11,C11_030820_052820,Bobcat,3/31/2020 16:05,3/30/20,Y,16:05:20,0,Reviewed Phase 4/C11_030820_052820/Bobcat,IMG_0109.JPG,Bobcat,TRUE,16H 5M 20S,NA,NA,NA,NA
C11,C11_121019_030820,Bobcat,12/28/2019 6:04,12/27/19,Y,6:04:42,0,Reviewed Phase 4/C11_121019_030820/Bobcat,IMG_0049.JPG,Bobcat,FALSE,6H 4M 42S,NA,NA,NA,NA
C15,C15_022620_061120,Bobcat,3/5/2020 5:28,3/4/20,N,5:28:29,0,Reviewed Phase 4/C15_022620_061120/Bobcat,IMG_0118.JPG,Bobcat,FALSE,5H 28M 29S,NA,NA,NA,NA
C15,C15_022620_061120,Bobcat,3/10/2020 8:13,3/9/20,N,8:13:58,441927,Reviewed Phase 4/C15_022620_061120/Bobcat,IMG_0184.JPG,Bobcat,TRUE,8H 13M 58S,NA,NA,NA,NA
C15,C15_022620_061120,Bobcat,3/27/2020 7:09,3/26/20,N,7:09:15,1464915,Reviewed Phase 4/C15_022620_061120/Bobcat,IMG_0286.JPG,Bobcat,TRUE,7H 9M 15S,NA,NA,NA,NA
C15,C15_022620_061120,Bobcat,3/27/2020 18:04,3/26/20,N,18:04:06,39289,Reviewed Phase 4/C15_022620_061120/Bobcat,IMG_0289.JPG,Bobcat,TRUE,18H 4M 6S,NA,NA,NA,NA
C15,C15_061120_091620,Bobcat,8/12/2020 8:24,8/11/20,N,8:24:50,0,Reviewed Phase 4/C15_061120_091620/Bobcat,IMG_0904.JPG,Bobcat,TRUE,8H 24M 50S,NA,NA,NA,NA
C15,C15_091620_110720,Bobcat,9/20/2020 8:25,9/19/20,N,8:25:22,0,Reviewed Phase 4/C15_091620_110720/Bobcat,IMG_0052.JPG,Bobcat,TRUE,8H 25M 22S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,11/20/2020 17:03,11/19/20,N,17:03:26,0,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_0133.JPG,Bobcat,FALSE,17H 3M 26S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,12/14/2020 12:17,12/13/20,N,12:17:34,2056439,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_0404.JPG,Bobcat,FALSE,12H 17M 34S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,12/26/2020 12:13,12/25/20,N,12:13:14,1036539,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_0478.JPG,Bobcat,FALSE,12H 13M 14S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,1/25/2021 14:09,1/24/21,N,14:09:39,2598981,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_0730.JPG,Bobcat,FALSE,14H 9M 39S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,2/21/2021 4:49,2/20/21,N,4:49:52,2299212,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_0895.JPG,Bobcat,FALSE,4H 49M 52S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,2/23/2021 6:35,2/22/21,N,6:35:23,179130,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_0952.JPG,Bobcat,FALSE,6H 35M 23S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,2/27/2021 16:01,2/26/21,N,16:01:31,379564,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_1072.JPG,Bobcat,FALSE,16H 1M 31S,NA,NA,NA,NA
C15,C15_110720_031121,Bobcat,3/7/2021 20:44,3/6/21,N,20:44:55,708185,Reviewed Phase 4/C15_110720_031121/Bobcat,IMG_1285.JPG,Bobcat,FALSE,20H 44M 55S,NA,NA,NA,NA
C15,C15_121819_022620,Bobcat,1/3/2020 12:44,1/2/20,N,12:44:06,0,Reviewed Phase 4/C15_121819_022620/Bobcat,IMG_0158.JPG,Bobcat,FALSE,12H 44M 6S,NA,NA,NA,NA
C15,C15_121819_022620,Bobcat,1/11/2020 12:19,1/10/20,N,12:19:38,689728,Reviewed Phase 4/C15_121819_022620/Bobcat,IMG_0232.JPG,Bobcat,FALSE,12H 19M 38S,NA,NA,NA,NA
C15,C15_121819_022620,Bobcat,1/20/2020 9:49,1/19/20,N,9:49:24,768584,Reviewed Phase 4/C15_121819_022620/Bobcat,IMG_0271.JPG,Bobcat,FALSE,9H 49M 24S,NA,NA,NA,NA
C15,C15_121819_022620,Bobcat,2/22/2020 8:24,2/21/20,N,8:24:43,2846117,Reviewed Phase 4/C15_121819_022620/Bobcat,IMG_0553.JPG,Bobcat,FALSE,8H 24M 43S,NA,NA,NA,NA
C17,C17_ 052720_092520,Bobcat,8/22/2020 8:52,8/21/20,N,8:52:33,0,Reviewed Phase 4/C17_ 052720_092520/Bobcat,IMG_0724.JPG,Bobcat,TRUE,8H 52M 33S,NA,NA,NA,NA
C17,C17_110420_030721,Bobcat,2/19/2021 17:28,2/18/21,N,17:28:40,0,Reviewed Phase 4/C17_110420_030721/Bobcat,IMG_0289.JPG,Bobcat,FALSE,17H 28M 40S,NA,NA,NA,NA
